id,title,description,tags,url
1,Introduction to Python,Learn Python basics for beginners,"python,programming,beginner",https://youtu.be/_uQrJ0TkZlc
2,Object-Oreiented Programming in Java,Understand OOP concepts,"java, oop, classes",https://youtu.be/grEKMHGYyns
3,HTML & CSS Full Course,Build websites with HML & CSS,"html, css, web, frontend",https://youtu.be/mU6anWqZJcc
4,Machine Learning Crash Course,Intro to ML and Alogorithms,"machine learning, ai, python",https://youtu.be/GwIo3gDZCVQ
5,Data Structures in C++,"Learn stacks, queues, trees","c++, data structures",https://youtu.be/B31LgI4Y4DQ
6,JavaScript for Beginners,Get started with JavaScript,"javascript, web development",https://youtu.be/W6NZfCO5SIk
7,React.js Tutorial,Build dynamic web apps with React,"react, javascript, frontend",https://youtu.be/Dorf8i6lCuk
8,SQL Database Basics,Learn SQL queries and database management,"sql, database, data",https://youtu.be/HXV3zeQKqGY
9,Android App Development,Create Android apps from scratch,"android, mobile development, java",https://youtu.be/fis26HvvDII
10,Git & GitHub for Beginners,Version control with Git and GitHub,"git, github, version control",https://youtu.be/RGOj5yH7evk
11,Data Analysis with Pandas,Analyze data using Pandas library,"pandas, data analysis, python",https://youtu.be/vmEHCJofslg
12,Docker Essentials,Containerization with Docker,"docker, devops, containers",https://youtu.be/fqMOX6JJhGo
13,Introduction to Kubernetes,Orchestrate containers with Kubernetes,"kubernetes, devops, containers",https://youtu.be/X48VuDVv0do
14,Cybersecurity Basics,Learn the fundamentals of cybersecurity,"cybersecurity, security, networking",https://youtu.be/inWWhr5tnEA
15,Cloud Computing with AWS,Get started with Amazon Web Services,"aws, cloud computing, devops",https://youtu.be/Nzv-tzU-UAw
16,Agile Project Management,Manage projects using Agile methodology,"agile, project management, scrum",https://youtu.be/502ILHjX9EE
17,Introduction to R Programming,Learn R for data analysis,"r programming, data analysis, statistics",https://youtu.be/_V8eKsto3Ug
18,Deep Learning with TensorFlow,Build deep learning models,"deep learning, tensorflow, ai",https://youtu.be/tPYj3fFJGjk
19,Mobile Game Development with Unity,Create games using Unity engine,"unity, game development, c#",https://youtu.be/IlKaB1etrik
20,DevOps Fundamentals,Understand DevOps practices and tools,"devops, ci/cd, automation",https://youtu.be/zG1cM9VSINg
21,API for beginner & How to use APi,Learn API,"api, curl",https://youtu.be/WXsD0ZgxjRw
22,All The JavaScript You Need To Know For React,JavaScript learning for react,"javascript, react, web",https://youtu.be/m55PTVUrlnA
23,Tailwind CSS v4 Full Course 2025,How to use CSS for web,"web, CSS, frontend",https://youtu.be/6biMWgD6_JY
24,React Tutorial for Beginners,Learning about react,"web, frontend, react",https://youtu.be/SqcY0GlETPk
25,The Complete Web Development Roadmap,The skill you need to learn for web,"web development, roadmap, learning",https://youtu.be/GxmfcnU3feo
26,Learn JSON in 10 Minutes,What is json,"json",https://youtu.be/iiADhChRriM
27,Learn SQL In 60 Minutes,Learning how to usse SQL,"sql, dataabase",https://youtu.be/p3qvj9hO_Bo
28,MASTERING Command Prompt Basics,Command Prompt learning,"machine learning, command prompt",https://youtu.be/QBWX_4ho8D4
29,Network Ports Explained,What is a port,"port,network, protection",https://youtu.be/g2fT-g9PX9o
30,DHCP Explained - Dynamic Host Configuration Protocol,The difference between a static IP vs dynamic IP,"DHCP, host, vpn, protocol",https://youtu.be/e6-TaH5bkjo
31,What is IP address,IP address,"IP, address,network",https://youtu.be/5WfiTHiU4x8
32,100+ Linux Things you Need to Know,More things need to know about Linux,"linux, dev, gnu",https://youtu.be/LKCVKw9CzFo
33,COMPUTER SCIENCE explained in 17 Minutes,Computer science learning,"computer science, math, ai",https://youtu.be/CxGSnA-RTsA
34,How Computers REALLY Work,The ways computer working,"computer science, active, machine learning",https://youtu.be/VJpQtiQLyGQ
35,Nvidia CUDA in 100 Seconds,Know about nvidia cuda working,"nvidia cuda, gpu, programming",https://youtu.be/pPStdjuYzSI
36,How do Graphics Cards Work? Exploring GPU Architecture,Learn more about Micron's Graphic Memory,"gpu,micron,graphic card",https://youtu.be/h9Z4oGN89MU
37,How are Microchips Made?,Focus on how CPUs are made,"microchip,cpu,manufacturing",https://youtu.be/dX9CGRZwD-w
38,The Best AI Coding Tools for Developers in 2025,AI tool for coding in 2025,"ai,software,tool",https://youtu.be/YESrXVkcCHY
39,How Hackers Use SQL Injection to Get Into Websites,Hacker SQL,"php,sql,hacker",https://youtu.be/GpngIucpMkw
40,How does the INTERNET work?,How does the INTERNET work?,"network",https://youtu.be/x3c1ih2NJEg
